φροντίζω — 1-е лицо, ед. число
φροντίζουμε — 1-е лицо, мн. число
φτιάχνω — 1-е лицо, ед. число
φτιάχνεις — 2-е лицо, ед. число
φτιάχνει — 3-е лицо, ед. число
φτιάχνουμε — 1-е лицо, мн. число
φτιάχνετε — 2-е лицо, мн. число
φτιάχνουν — 3-е лицо, мн. число
χαλάω — 1-е лицо, ед. число
χαλάς — 2-е лицо, ед. число
χαλάει — 3-е лицо, ед. число
χαλάμε — 1-е лицо, мн. число
χαλάτε — 2-е лицо, мн. число
χαλάνε — 3-е лицо, мн. число
ψωνίζω — 1-е лицо, ед. число
ψωνίζεις — 2-е лицо, ед. число
ψωνίζει — 3-е лицо, ед. число
ψωνίζουμε — 1-е лицо, мн. число
ψωνίζετε — 2-е лицо, мн. число
ψωνίζουν — 3-е лицо, мн. число
