προηγούμενος, -η, -ο
προσχολικός, -ή, -ό
προσωπικός, -ή, -ό
πρωινός, -ή, -ό
πρώτος, -η, -ο
ρωσικός, -ή, -ό
σγουρός, -ή, -ό
σημαντικός, -ή, -ό
σίγουρος, -η, -ο
σκληρός, -ή, -ό
σοβαρός, -ή, -ό
σουηδικός, -ή, -ό
σπιτικός, -ή, -ό
σπουδαίος, -α, -ο
στεναχωρημένος, -η, -ο
στενός, -ή, -ό
στολισμένος, -η, -ο
σύγχρονος, -η, -ο
συμπαθητικός, -ή, -ό
συνηθισμένος, -η, -ο
σύντομος, -η, -ο
συνώνυμος, -η, -ο
συστημένος, -η, -ο
συχνός, -ή, -ό
σφιχτός, -ή, -ό
σχολικός, -ή, -ό
σωστός, -ή, -ό
τέλειος, -α, -ο
τελευταίος, -α, -ο
τεράστιος, -α, -ο
τέταρτος, -η, -ο
τέτοιος, -α, -ο
τετρακόσιοι, -ες, -α
τεχνολογικός, -ή, -ό
τηγανητός, -ή, -ό
τονισμένος, -η, -ο
τόσος, -η, -ο
τουριστικός, -ή, -ό
τουρκικός, -ή, -ό
τρελός, -ή, -ό
τριακόσιοι, -ες, -α
τρίτος, -η, -ο
τρυφερός, -ή, -ό
τυχερός, -ή, -ό
υγιεινός, -ή, -ό
υπέροχος, -η, -ο
υπεύθυνος, -η, -ο
υπογραμμισμένος, -η, -ο
υπόλοιπος, -η, -ο
υποχρεωτικός, -ή, -ό
φαρδύς, -ιά, -ύ
φετινός, -ή, -ό
φθηνός, -ή, -ό
φιλικός, -ή, -ό
φινλανδικός, -ή, -ό
φρέσκος, -ια, -ο
φυσικός, -ή, -ό
χαμηλός, -ή, -ό
χαρούμενος, -η, -ο
χίλιοι, -ες, -α
χλιαρός, -ή, -ό
χοντρός, -ή, -ό
χριστουγεννιάτικος, -η, -ο
χρωματιστός, -ή, -ό
ψηλός, -ή, -ό
ψητός, -ή, -ό
ψηφιακός, -ή, -ό
ωραίος, -α, -ο
